understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
26986,1235,Osasuna,Ante Budimir,56,89.78,30.6,0.0508,Blocked,Left Foot,Open Play,h,Cross,Abel Bretones,2024,understat
26986,1235,Osasuna,Ante Budimir,57,89.67,35.5,0.0707,Saved,Left Foot,Open Play,h,Pass,Aimar Oroz,2024,understat
26986,7604,Osasuna,Alejandro Catena,58,95.76,30.87,0.0307,Saved,Head,From Corner,h,Aerial,Moi Gómez,2024,understat
26986,8424,Osasuna,Aimar Oroz,63,99.22,34.95,0.504,Off T,Head,Open Play,h,Cross,Jon Moncayola,2024,understat
26986,10143,Osasuna,Bryan Zaragoza,70,91.25,41.82,0.0708,Blocked,Right Foot,Open Play,h,TakeOn,Jesús Areso,2024,understat
26986,7604,Osasuna,Alejandro Catena,72,99.54,31.48,0.5112,Off T,Head,Set Piece,h,Cross,Rubén García,2024,understat
26986,8424,Osasuna,Aimar Oroz,76,84.73,37.67,0.0506,Blocked,Left Foot,Open Play,h,Pass,Rubén García,2024,understat
26986,8424,Osasuna,Aimar Oroz,77,91.98,36.65,0.0185,Saved,Head,Open Play,h,Aerial,Bryan Zaragoza,2024,understat
26986,8424,Osasuna,Aimar Oroz,78,85.57,37.33,0.0403,Blocked,Right Foot,From Corner,h,None,,2024,understat
26986,10143,Osasuna,Bryan Zaragoza,82,83.9,42.5,0.0253,Saved,Right Foot,Open Play,h,TakeOn,Rubén Peña,2024,understat
26986,10858,Osasuna,Jorge Herrando,85,92.5,38.15,0.048,Saved,Left Foot,From Corner,h,Cross,Jon Moncayola,2024,understat
26986,10858,Osasuna,Jorge Herrando,93,94.08,30.67,0.0302,Off T,Head,From Corner,h,End,Jon Moncayola,2024,understat
26986,8422,Leganes,Javi Hernández,9,75.5,29.44,0.0505,Off T,Left Foot,Direct Freekick,a,Standard,,2024,understat
26986,12792,Leganes,Seydouba Cissé,14,82.0,24.75,0.0204,Blocked,Right Foot,From Corner,a,None,,2024,understat
26986,6924,Leganes,Miguel De la Fuente,15,99.75,39.3,0.2856,Saved,Head,From Corner,a,Cross,Juan Cruz,2024,understat
26986,6924,Leganes,Miguel De la Fuente,19,88.3,48.35,0.0281,Blocked,Right Foot,Open Play,a,Pass,Javi Hernández,2024,understat
26986,6759,Leganes,Juan Cruz,21,100.9,28.63,0.4932,Goal,Left Foot,Open Play,a,Throughball,Javi Hernández,2024,understat
26986,8422,Leganes,Javi Hernández,49,101.32,40.8,0.0839,Saved,Left Foot,Set Piece,a,Pass,Juan Cruz,2024,understat
26986,5199,Leganes,Raba,66,82.63,31.42,0.0477,Blocked,Left Foot,Open Play,a,TakeOn,,2024,understat
26986,8689,Leganes,Yvan Neyou,67,81.69,20.4,0.02,Off T,Right Foot,Open Play,a,Rebound,,2024,understat
26986,5037,Leganes,Darko Brasanac,69,95.13,22.44,0.2693,Saved,Right Foot,Open Play,a,Pass,Javi Hernández,2024,understat
26986,6257,Leganes,Juan Soriano,78,2.1,34.14,0.0,OwnGoal,Right Foot,From Corner,a,BallTouch,,2024,understat
26986,7835,Leganes,Aritz Arambarri,81,90.62,31.21,0.0417,Blocked,Head,Set Piece,a,Cross,Raba,2024,understat
26987,6637,Valencia,Hugo Duro,14,95.02,32.71,0.2801,Off T,Head,From Corner,h,Cross,Pepelu,2024,understat
26987,2589,Valencia,Rafa Mir,16,79.38,20.06,0.0157,Blocked,Left Foot,Open Play,h,Pass,André Almeida,2024,understat
26987,6637,Valencia,Hugo Duro,43,100.9,31.96,0.5927,Goal,Head,Open Play,h,Cross,Diego López,2024,understat
26987,6637,Valencia,Hugo Duro,47,97.97,35.29,0.5904,Blocked,Left Foot,Open Play,h,Pass,Diego López,2024,understat
26987,6637,Valencia,Hugo Duro,52,95.55,35.02,0.0545,Off T,Head,Set Piece,h,Aerial,Pepelu,2024,understat
26987,2551,Valencia,Pepelu,53,80.22,46.72,0.0186,Off T,Right Foot,Open Play,h,Pass,Diego López,2024,understat
26987,11527,Barcelona,Lamine Yamal,5,89.46,31.08,0.0859,Blocked,Left Foot,Open Play,a,TakeOn,Robert Lewandowski,2024,understat
26987,9805,Barcelona,Álex Balde,6,75.92,20.33,0.0193,Saved,Left Foot,From Corner,a,Pass,Marc Casadó,2024,understat
26987,8026,Barcelona,Raphinha,18,79.59,19.24,0.017,Saved,Left Foot,Open Play,a,Pass,Lamine Yamal,2024,understat
26987,12005,Barcelona,Pau Cubarsí,27,91.88,35.9,0.0543,Off T,Head,Set Piece,a,Cross,Ferrán Torres,2024,understat
26987,11527,Barcelona,Lamine Yamal,36,83.48,33.12,0.0688,Off T,Right Foot,Open Play,a,TakeOn,,2024,understat
26987,8026,Barcelona,Raphinha,38,76.33,25.77,0.05,Blocked,Left Foot,Direct Freekick,a,Standard,,2024,understat
26987,11151,Barcelona,Marc Casadó,46,93.87,36.24,0.1117,Blocked,Right Foot,Open Play,a,Pass,Álex Balde,2024,understat
26987,11527,Barcelona,Lamine Yamal,49,97.55,20.2,0.0263,Off T,Right Foot,Open Play,a,Cross,Álex Balde,2024,understat
