shot_id,match_id,player_id,team_id,minute,x,y,xg,result,shot_type,situation,data_source
22830,1907,309,3,94,92.9200,28.0800,0.3868,Goal,Right Foot,Open Play,understat
22831,1907,309,3,99,91.2500,20.6000,0.0761,Off T,Right Foot,Open Play,understat
22832,1908,681,4,17,82.0000,40.3900,0.0297,Saved,Left Foot,Open Play,understat
22833,1908,689,4,31,82.3200,19.2400,0.0232,Saved,Left Foot,Open Play,understat
22834,1908,675,4,31,77.8000,32.2300,0.0170,Blocked,Left Foot,From Corner,understat
22835,1908,681,4,31,83.7900,41.6200,0.0407,Post,Right Foot,From Corner,understat
22836,1908,666,4,31,95.7600,29.8500,0.0825,Off T,Head,From Corner,understat
22837,1908,681,4,38,83.1600,42.2300,0.0972,Saved,Right Foot,Direct Freekick,understat
22838,1908,677,4,47,91.6700,23.4600,0.0580,Off T,Right Foot,Open Play,understat
22839,1908,677,4,47,86.4200,26.0400,0.0416,Off T,Right Foot,From Corner,understat
22840,1908,684,4,48,85.7800,49.4400,0.0254,Off T,Right Foot,Open Play,understat
22841,1908,681,4,54,85.1500,25.8400,0.0214,Off T,Right Foot,Open Play,understat
22842,1908,681,4,54,85.3700,30.8700,0.0462,Blocked,Left Foot,Open Play,understat
22843,1908,684,4,58,84.0000,48.6200,0.0301,Off T,Right Foot,Open Play,understat
22844,1908,678,4,86,97.5500,45.9000,0.0141,Saved,Head,Set Piece,understat
22845,1908,239,23,7,97.0200,33.8000,0.0768,Off T,Head,Open Play,understat
22846,1908,237,23,8,99.3300,49.5700,0.0174,Off T,Left Foot,Open Play,understat
22847,1908,228,23,21,71.3000,25.7000,0.0135,Saved,Right Foot,Open Play,understat
22848,1908,224,23,21,70.7700,23.2600,0.0110,Off T,Right Foot,From Corner,understat
22849,1908,228,23,24,78.3300,19.5800,0.0134,Blocked,Right Foot,Open Play,understat
22850,1908,232,23,25,92.4000,29.7800,0.0627,Blocked,Left Foot,Open Play,understat
22851,1908,237,23,46,100.5900,25.9800,0.1648,Off T,Head,From Corner,understat
22852,1909,514,2,10,76.0200,36.3100,0.0190,Saved,Right Foot,Open Play,understat
