canonical_id,canonical_name,nationality,birth_date,position,id_sofascore,id_understat,id_transfermarkt,id_statsbomb,id_whoscored,created_at
499,Marc Casadó,España,2003-09-14,Pivote,1000483.0,,636695,,454343.0,2026-04-21 23:45:44.771660
1074,Marco Moreno,España,2001-02-20,Defensa central,,,534376,,433966.0,2026-04-21 23:45:44.771660
957,Pablo Sáenz,España,2001-05-22,Extremo derecho,,,821820,,462522.0,2026-04-21 23:45:44.771660
1029,Borja Vázquez,España,2005-01-18,Delantero centro,,,1230202,,527931.0,2026-04-21 23:45:44.771660
995,Nando Almodóvar,España,2003-11-03,Portero,,,930096,,445093.0,2026-04-21 23:45:44.771660
198,Assane Diao,Senegal,2005-09-07,Extremo izquierdo,1493689.0,12081.0,1061282,,502427.0,2026-04-21 23:45:44.771660
979,Sergio Gimeno,España,2001-05-25,Defensa central,,,623025,,450225.0,2026-04-21 23:45:44.771660
596,Yoel Lago,España,2004-03-25,Defensa central,1145100.0,,939374,,528001.0,2026-04-21 23:45:44.771660
1062,Carlos Dotor,España,2001-03-15,Mediocentro,997221.0,11540.0,623524,,461527.0,2026-04-21 23:45:44.771660
1061,Javi Rueda,España,2002-05-08,Lateral derecho,,,652331,,463588.0,2026-04-21 23:45:44.771660
770,Ale Gorrin,España,2002-08-08,Portero,,,749978,,467779.0,2026-04-21 23:45:44.771660
1049,Selu Diallo,Guinea,2003-10-01,Mediocentro,,,1054931,,497532.0,2026-04-21 23:45:44.771660
385,Stanis Idumbo,Bélgica,2005-06-29,Mediocentro ofensivo,,,743387,,516051.0,2026-04-21 23:45:44.771660
260,Pedro Díaz,España,1998-06-05,Mediocentro,900669.0,12863.0,363057,,448514.0,2026-04-21 23:45:44.771660
251,Pelayo Fernández,España,2003-04-29,Defensa central,1139724.0,,692208,,531953.0,2026-04-21 23:45:44.771660
258,Marco de las Sías,España,2005-12-29,Lateral derecho,,,948254,,537059.0,2026-04-21 23:45:44.771660
451,Juan Berrocal,España,1999-02-05,Defensa central,851226.0,7186.0,461843,,364114.0,2026-04-21 23:45:44.771660
290,Juan Bernat,España,1993-03-01,Lateral izquierdo,96368.0,414.0,126719,,106894.0,2026-04-21 23:45:44.771660
445,Jiri Letacek,República Checa,1999-01-09,Portero,,,339079,,533041.0,2026-04-21 23:45:44.771660
461,Ismael Bekhoucha,Marruecos,2004-11-20,Lateral derecho,1895964.0,,1164331,,550147.0,2026-04-21 23:45:44.771660
446,Jorge Benito,España,2006-06-06,Portero,,,1135452,,497377.0,2026-04-21 23:45:44.771660
558,Facundo Garcés,Malasia,1999-09-05,Defensa central,879875.0,13319.0,533354,,337454.0,2026-04-21 23:45:44.771660
564,Santiago Mouriño,Uruguay,2002-02-13,Lateral derecho,1468046.0,13003.0,953901,,448936.0,2026-04-21 23:45:44.771660
559,Moussa Diarra,Malí,2000-11-10,Defensa central,985262.0,7613.0,694509,,375342.0,2026-04-21 23:45:44.771660
561,Aleksandar Sedlar,Serbia,1991-12-13,Defensa central,799195.0,,237499,,294019.0,2026-04-21 23:45:44.771660
576,Carlos Martín,España,2002-04-22,Extremo izquierdo,1131581.0,,618813,,427360.0,2026-04-21 23:45:44.771660
312,Pau Cabanes,España,2005-02-17,Delantero centro,1863206.0,,1063553,,538494.0,2026-04-21 23:45:44.771660
566,Hugo Novoa,España,2003-01-24,Lateral derecho,1001967.0,,668276,,397893.0,2026-04-21 23:45:44.771660
584,Toni Martínez,España,1997-06-30,Delantero centro,831253.0,,302371,,280060.0,2026-04-21 23:45:44.771660
712,Conor Gallagher,Inglaterra,2000-02-06,Mediocentro,904970.0,9040.0,488362,,375621.0,2026-04-21 23:45:44.771660
